id_alumno,carrera,plan,materia,nombre_materia,comision,fecha_regularidad,fin_vigencia_regul,cond_regularidad,resultado,nota
60451,206,2011,0001,Introducción a la Programación I,24119,2016-07-04,2019-08-31,Promocionó,A,"7,50"
60451,206,2011,0002,Análisis Matemático I,24118,2016-07-04,2019-08-31,Promocionó,A,8
60451,206,2011,0004,Ciencias de la Computación I,24301,2016-11-10,2021-03-31,Regular,A,"9,50"
60451,206,2011,0005,Introducción a la Programación II,24302,2016-11-30,2021-03-31,Regular,A,9
60451,206,2011,0007,Física General,24325,2016-11-29,2021-03-31,Regular,A,5
60451,206,2011,0008,Ciencias de la Computación II,24407,2017-05-29,2021-03-31,Regular,A,8
60451,206,2011,0009,Análisis y Diseño de Algoritmos I,24417,2017-07-14,2021-03-31,Regular,A,"6,50"
60451,206,2011,0010,Introducción a la Arquitectura de Sistemas,24408,2017-06-19,2021-03-31,Regular,A,7
60451,206,2011,0011,Análisis Matemático II,24399,2017-06-08,2021-03-31,Regular,A,6
60451,206,2011,0012,Electricidad y Magnetismo,24416,2017-06-14,2021-03-31,Regular,A,9
60451,206,2011,0013,Análisis y Diseño de Algoritmos II,24512,2017-12-14,2021-03-31,Regular,A,"6,50"
60451,206,2011,0014,Comunicación de Datos I,24511,2017-11-30,2021-03-31,Regular,A,5
60451,206,2011,0015,Probabilidades y Estadística,24510,2017-11-21,2021-03-31,Promocionó,A,7
60451,206,2011,0016,Electrónica Digital,24509,2017-12-05,2021-03-31,Regular,A,"5,75"
60451,206,2011,0017,Inglés,24508,2017-12-04,2021-03-31,Abandonó,U,
60451,206,2011,0018,Programación Exploratoria,24831,2018-12-06,2022-03-31,Promocionó,A,10
60451,206,2011,0019,Estructuras de Almacenamiento de Datos,24719,2018-07-06,2021-08-31,Regular,A,"6,50"
60451,206,2011,0020,Metodologías de Desarrollo de Software I,24664,2018-06-13,2021-08-31,Regular,A,7
60451,206,2011,0021,Arquitectura de Computadoras I,24718,2018-07-10,2021-08-31,Regular,A,"9,60"
60451,206,2011,0022,Programación Orientada a Objetos,24665,2018-06-15,2021-08-31,Regular,A,4
60451,206,2011,0023,Bases de Datos I,24830,2018-12-04,2022-03-31,Regular,A,6
60451,206,2011,0024,Lenguajes de Programación I,24790,2018-11-08,2022-03-31,Regular,A,7
60451,206,2011,0025,Sistemas Operativos I,24792,2018-12-12,2022-03-31,Regular,A,9
60451,206,2011,0026,Investigación Operativa I,24829,2018-11-09,2022-03-31,Regular,A,"8,50"
60451,206,2011,0027,Arquitectura de Computadoras y Técnicas Digitales,24969,2019-07-02,2022-08-31,Regular,A,9
60451,206,2011,0028,Teoría de la Información,24968,2019-07-10,2022-08-31,Promocionó,A,9
60451,206,2011,0029,Comunicación de Datos II,24967,2019-07-01,2022-08-31,Regular,A,8
60451,206,2011,0030,Introducción al Cálculo Diferencial e Integral,24966,2019-06-08,2022-08-31,Promocionó,A,7
60451,206,2011,0031,Diseño de Sistemas de Software,25024,2019-11-29,2023-03-31,Regular,A,10
60451,206,2011,0032,Diseño de Compiladores I,25023,2019-12-10,2023-03-31,Regular,A,10
60451,206,2011,0033,Ingeniería de Software,25228,2020-07-13,2023-08-31,Regular,A,10
60451,206,2011,0125,Algebra Lineal,24248,2016-11-03,2021-03-31,Regular,A,4
60451,206,2011,0127,Matemática Discreta,24247,2016-11-07,2021-03-31,Regular,A,9
60451,206,2011,0145,Algebra I,24117,2016-06-14,2019-08-31,Regular,A,7
60451,206,2011,0193,Química,24116,2016-06-13,2019-08-31,Promocionó,A,8
60451,206,2011,1179,Introducción a la Programación de Dispositivos Móviles,25120,2019-12-17,2023-03-31,Regular,A,10
60451,206,2011,1183,Computación Paralela y Distribuída,25012,2019-07-02,2022-08-31,Regular,A,9
60451,206,2011,1188,Organización Empresarial,24987,2019-07-12,2022-08-31,Regular,A,
60451,206,2011,1189,Fundamentos de Economía y Proyectos de Inversión,25107,2019-12-12,2023-03-31,Promocionó,A,10
60451,206,2011,1190,Legislación y Gestión Ambiental,25281,2020-07-02,2023-08-31,Promocionó,A,"9,77"
60451,206,2011,1230,Taller de Desarrollo Web,25003,2019-06-25,2022-08-31,Regular,A,10
60451,206,2011,1261,Introducción a las Redes Neuronales y Aprendizaje Profundo,25136,2019-12-06,2023-03-31,Regular,A,10
60451,206,2011,1303,Taller de Python y Aplicaciones,25127,2019-11-14,2023-03-31,Regular,A,9
60451,206,2011,1305,Sistemas de Recomendación,25137,2019-11-29,2023-03-31,Regular,A,10
